0,2
0,1
0,3
0,5
0,9
0,10
0,11
0,7
0,12
0,18
1,2
1,3
1,5
1,6
1,7
1,12
1,11
1,8
1,10
1,4
1,16
1,20
1,17
1,9
1,34
2,4
2,3
2,10
2,12
2,7
2,16
2,5
2,20
2,11
2,25
2,26
3,6
3,11
3,12
3,7
3,5
3,10
3,14
3,19
3,22
3,26
3,34
3,20
3,37
4,17
4,20
5,8
5,9
5,13
5,7
5,10
5,26
6,12
6,11
6,14
6,7
7,22
7,16
8,9
8,33
9,13
9,18
9,15
9,10
9,26
10,16
10,20
10,26
10,31
11,12
11,14
11,19
12,14
12,16
13,15
13,21
13,28
14,19
14,27
15,23
15,24
15,28
16,25
16,20
19,27
20,25
20,31
20,30
23,24
23,35
24,29
24,28
25,30
27,32
31,38
34,36
